mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour
112,2023-08-08 04:41:40,51.0309462,3.7441996,37.0,37.0,293.0,251.0,797.0,797.0,70.0,80.0,70.0,82.0,2023-08-08,04:41:40
112,2023-08-08 03:02:43,51.026546,3.752956,24.0,21.0,307.0,258.0,804.0,799.0,70.0,83.0,66.0,81.0,2023-08-08,03:02:43
112,2023-08-08 11:40:44,51.1275519,3.6657614,41.0,41.0,448.0,431.0,1548.0,1578.0,81.0,83.0,82.0,85.0,2023-08-08,11:40:44
112,2023-08-08 14:18:50,50.7853331,3.6201732,36.0,38.0,272.0,241.0,820.0,802.0,75.0,82.0,70.0,78.0,2023-08-08,14:18:50
112,2023-08-09 12:30:17,50.9129484,3.7969653,37.0,41.0,255.0,234.0,796.0,805.0,78.0,84.0,76.0,83.0,2023-08-09,12:30:17
112,2023-08-09 17:18:30,51.0383807,3.6996286,41.0,62.0,262.0,3.0,795.0,0.0,75.0,59.0,77.0,62.0,2023-08-09,17:18:30
112,2023-08-09 15:29:20,50.852224,3.6024913,38.0,38.0,455.0,438.0,1499.0,1499.0,80.0,83.0,82.0,82.0,2023-08-09,15:29:20
112,2023-08-09 13:45:25,51.0404217,3.6929779,31.0,34.0,327.0,262.0,781.0,804.0,65.0,81.0,65.0,77.0,2023-08-09,13:45:25
112,2023-08-09 17:31:31,51.0395811,3.694074,36.0,62.0,303.0,3.0,798.0,0.0,67.0,58.0,70.0,60.0,2023-08-09,17:31:31
112,2023-08-09 16:32:27,50.8513096,3.6013355,41.0,66.0,286.0,3.0,800.0,0.0,70.0,71.0,73.0,71.0,2023-08-09,16:32:27
112,2023-08-11 12:42:13,51.0128823,3.7804772,29.0,29.0,0.0,358.0,0.0,802.0,28.0,68.0,24.0,52.0,2023-08-11,12:42:13
112,2023-08-11 12:51:10,51.0128659,3.780567,26.0,41.0,0.0,3.0,0.0,0.0,34.0,82.0,31.0,84.0,2023-08-11,12:51:10
112,2023-08-11 12:47:07,51.0129779,3.7804524,29.0,35.0,0.0,465.0,0.0,1311.0,28.0,82.0,25.0,85.0,2023-08-11,12:47:07
112,2023-08-12 09:32:48,50.9377893,3.7776989,41.0,41.0,483.0,465.0,1845.0,1723.0,78.0,80.0,82.0,83.0,2023-08-12,09:32:48
112,2023-08-12 08:10:43,51.0201485,3.7645811,35.0,40.0,293.0,255.0,804.0,797.0,75.0,82.0,75.0,83.0,2023-08-12,08:10:43
112,2023-08-12 09:06:40,50.7764357,3.8738736,37.0,35.0,517.0,479.0,1896.0,1930.0,73.0,81.0,74.0,81.0,2023-08-12,09:06:40
112,2023-08-14 16:15:12,50.842911,3.8185254,46.0,41.0,410.0,400.0,1327.0,1323.0,88.0,82.0,82.0,79.0,2023-08-14,16:15:12
112,2023-08-14 01:02:14,51.0164749,3.7727458,22.0,20.0,327.0,279.0,804.0,795.0,68.0,82.0,63.0,73.0,2023-08-14,01:02:14
112,2023-08-14 13:12:16,51.0203267,3.7642758,41.0,42.0,289.0,251.0,801.0,796.0,75.0,82.0,73.0,81.0,2023-08-14,13:12:16
112,2023-08-14 17:05:17,51.0355082,3.7121115,42.0,41.0,272.0,269.0,864.0,883.0,83.0,82.0,84.0,81.0,2023-08-14,17:05:17
112,2023-08-14 12:20:10,51.0402812,3.693632,32.0,30.0,410.0,403.0,798.0,794.0,60.0,62.0,46.0,48.0,2023-08-14,12:20:10
112,2023-08-14 12:43:18,51.0401104,3.6942182,37.0,32.0,324.0,293.0,807.0,815.0,68.0,77.0,62.0,66.0,2023-08-14,12:43:18
112,2023-08-14 02:55:19,51.1758042,3.5822805,38.0,38.0,286.0,244.0,818.0,797.0,75.0,82.0,76.0,84.0,2023-08-14,02:55:19
112,2023-08-14 16:04:15,50.7699811,3.8716402,42.0,40.0,269.0,255.0,801.0,797.0,77.0,82.0,76.0,79.0,2023-08-14,16:04:15
112,2023-08-14 01:39:20,51.0165304,3.7727428,22.0,20.0,331.0,272.0,803.0,801.0,68.0,82.0,63.0,76.0,2023-08-14,01:39:20
112,2023-08-16 11:12:37,51.0236641,3.7584517,36.0,36.0,320.0,269.0,802.0,799.0,69.0,82.0,64.0,77.0,2023-08-16,11:12:37
112,2023-08-16 13:05:31,50.7705736,3.8718018,42.0,40.0,286.0,258.0,810.0,799.0,75.0,81.0,76.0,79.0,2023-08-16,13:05:31
112,2023-08-16 06:47:46,51.0327517,3.7383563,35.0,36.0,341.0,331.0,858.0,950.0,69.0,81.0,71.0,79.0,2023-08-16,06:47:46
112,2023-08-16 03:36:35,50.7743515,3.8727592,23.0,21.0,338.0,327.0,800.0,807.0,68.0,72.0,60.0,60.0,2023-08-16,03:36:35
112,2023-08-16 15:27:31,51.0317469,3.7332137,40.0,40.0,458.0,445.0,1498.0,1498.0,81.0,81.0,83.0,81.0,2023-08-16,15:27:31
